captions,filepath,class,captions_nepali
"['A football field is on a playground.', 'A football field is in a playground.', 'A football field is in a playground.', 'A football field is in a playground.', 'a football field is in a playground .']",train/playground_285.jpg,खेळमैदान,"['फुटबल मैदान खेल मैदानमा छ।', 'फुटबल मैदान खेल मैदानमा छ।', 'फुटबल मैदान खेल मैदानमा छ।', 'फुटबल मैदान खेल मैदानमा छ।', 'फुटबल मैदान खेल मैदानमा छ।']"
"['a pond is surrounded by trees.', 'the water is grey green trees are green .', 'many green trees are around a rectangular pond.', 'many green trees are around a rectangular pond .', 'a pond is surrounded by trees .']",train/pond_324.jpg,पोखरी,"['पानी खैरो छ, हरियो रूखहरू हरियो छन्।', 'आयताकार पोखरी वरिपरि धेरै हरियो रूखहरू छन्।', 'आयताकार पोखरी वरिपरि धेरै हरियो रूखहरू छन्।', 'रूखहरूले घेरिएको पोखरी हो।']"
"['residential buildings on both sides of the road are well disposed.', 'the road extending in all directions, automobile running in above .', 'Many green buildings and trees are located in a dense residential area.', 'many buildings and green trees are in a dense residential area .', 'the residential buildings on both sides of the road are neatly arranged .']",train/denseresidential_350.jpg,आवासीय क्षेत्र,"['सडकको दुबै छेउमा रहेका आवासीय भवनहरू राम्रोसँग डिस्पोज गरिएका छन्।', 'सडक चारै दिशामा फैलिएको छ, माथि अटोमोबाइल चलिरहेको छ।', 'धेरै हरियो भवन र रूखहरू घना आवासीय क्षेत्रमा अवस्थित छन्।', 'धेरै भवनहरू र हरियो रूखहरू घना आवासीय क्षेत्रमा छन्।', 'सडकको दुबै छेउमा रहेका आवासीय भवनहरू राम्ररी व्यवस्थित छन्।']"
"['many pieces of green agricultural land are together.', 'Many pieces of green farmland are together.', 'Many pieces of green agricultural land are together.', 'Many pieces of green agricultural land are together.', 'many pieces of green farmlands are together .']",train/farmland_287.jpg,खेतीयोग्य भूमि,"['हरेक खेतीयोग्य जमिनका धेरै टुक्रा सँगै छन्।', 'हरियो खेतबारीका धेरै टुक्राहरू सँगै छन्।', 'हरेक खेतीयोग्य जमिनका धेरै टुक्रा सँगै छन्।', 'हरेक खेतीयोग्य जमिनका धेरै टुक्रा सँगै छन्।', 'हरियो खेतबारीका धेरै टुक्रा सँगै छन्।']"
"['s a piece of irregular khaki mountain.""  ""It', 's a piece of irregular mountain caki.""  ""It', 'it is a piece of irregular khaki mountain .']",train/mountain_255.jpg,पहाड,['यो अनियमित खाकी पहाडको टुक्रा हो।']
"['a large amount of agricultural land has been planted on the land.', 'Some fields are planted with large trees.', 'some fields are planted with tall trees .', 'a large amount of agricultural land has been planted on the land.', 'a large amount of farmland has been planted on the land .']",train/farmland_36.jpg,खेतीयोग्य भूमि,"['जमिनमा ठूलो मात्रामा कृषियोग्य जमिन रोपिएको छ।', 'केही खेतहरूमा ठूला रूखहरू लगाइएका छन्।', 'केही खेतहरू अग्लो रूखहरूले रोपिएका छन्।', 'धेरै मात्रामा खेतीयोग्य जमिन रोपिएको छ।', 'जमिनमा ठूलो मात्रामा खेतबारी रोपिएको छ।']"
"['several ponds are surrounded by many green trees.', 'several ponds are surrounded by many green trees.', 'several ponds are surrounded by many green trees.', 'several ponds are surrounded by many green trees.', 'several ponds are surrounded by many green trees .']",train/pond_184.jpg,पोखरी,"['धेरै पोखरीहरू धेरै हरिया रूखहरूले घेरिएका छन्।', 'धेरै पोखरीहरू धेरै हरिया रूखहरूले घेरिएका छन्।', 'धेरै पोखरीहरू धेरै हरिया रूखहरूले घेरिएका छन्।', 'धेरै पोखरीहरू धेरै हरिया रूखहरूले घेरिएका छन्।', 'धेरै पोखरीहरू धेरै हरिया रूखहरूले घेरिएका छन्।']"
"['a building with a swimming pool is surrounded by many sparse green trees near a road.', 'a building with swimming pool is surrounded by many scarce green trees near a road.', 'a building with swimming pool is surrounded by many scattered green trees near a road.', 'a building with a swimming pool is surrounded by many scattered green trees near a road.', 'a building with a swimming pool is surrounded by many sparse green trees near a road .']",train/sparseresidential_132.jpg,आवासीय क्षेत्र,"['सडकको छेउमा पौंडी पोखरी भएको भवन धेरै विरल हरियो रूखहरूले घेरिएको छ।', 'सडक नजिकै धेरै दुर्लभ हरियो रूखहरूले घेरिएको पौंडी पोखरी भएको भवन।', 'सडकको छेउमा पौंडी पोखरी भएको भवन धेरै छरिएका हरिया रुखहरूले घेरिएको छ।', 'सडकको छेउमा पौंडी पोखरी भएको भवन धेरै छरिएका हरिया रुखहरूले घेरिएको छ।', 'सडकको छेउमा पौंडी पोखरी भएको भवन धेरै विरल हरियो रूखहरूले घेरिएको छ।']"
"['four tennis courts are close to a playground.', 'four tennis courts are close to a playground.', 'Four tennis courts are close to a playground.', 'Four tennis courts are close to a playground.', 'four tennis courts are near a playground .']",train/playground_27.jpg,खेळमैदान,"['चार टेनिस कोर्टहरू खेल मैदान नजिक छन्।', 'चार टेनिस कोर्ट खेल मैदान नजिकै छन्।', 'चार टेनिस कोर्ट खेल मैदान नजिकै छन्।', 'चार टेनिस कोर्ट खेल मैदान नजिकै छन्।', 'चार टेनिस कोर्ट खेल मैदान नजिकै छन्।']"
"['there is a square terminal with many planes ordered around it on the asphalt outside which is grassy field divided into several pieces by tracks.', 'there is a square terminal building with many orderly arranged aeroplanes around it on the tarmac  outside which is grassy field divided into several pieces by runways .', 'a dark green rectangle airport encircled by green flight strip .', 'the square shpaped complicated termial building is surrounded by runways .', 'many planes are parked in two sides of a building in an airport with several runways .']",train/airport_227.jpg,विमानस्थल,"['त्यहाँ स्क्वायर टर्मिनल छ जसको वरिपरि डामरमा धेरै विमानहरू अर्डर गरिएको छ जसको बाहिर घाँसे मैदान ट्र्याकहरूद्वारा धेरै टुक्राहरूमा विभाजित छ।', 'त्यहाँ टार्माकमा वरिपरि धेरै व्यवस्थित विमानहरू भएको वर्गाकार टर्मिनल भवन छ जसको बाहिर घाँसे मैदान रनवेद्वारा धेरै टुक्राहरूमा विभाजित छ।', 'हरियो उडान पट्टीले घेरिएको गाढा हरियो आयत एयरपोर्ट।', 'वर्ग आकारको जटिल टर्मिनल भवन रनवेले घेरिएको छ।', 'धेरै रनवे भएको एयरपोर्टको भवनको दुई छेउमा धेरै विमानहरू पार्क गरिएका छन्।']"
